name,url,unit,description,type,audience,online,ch_branch,ch_phone,ch_email,ch_mail,ch_kiosk,level,level_name,usage_total,usage_digital,usage_frontal,usage_phone
דיווח על מפגע עירוני,https://www.ganeytikva.org.il/%D7%9E%D7%95%D7%A7%D7%93-106/,מוקד,דיווח על מפגעים עירוניים למוקד העירוני,דיווח מידע,כלל האוכלוסייה,כן,לא,כן,כן,לא,לא,5,תהליך אוטומטי,40585,10358,0,27330
תשלום ארנונה,https://city4u.co.il/PortalServicesSite/cityPay/502200?SId=1&LAMASID=502200,הכנסות וארנונה,"תשלום חשבון הארנונה והיטל שמירה באמצעות מגוון אמצעים, כולל כרטיס אשראי, הוראת קבע, העברה בנקאית, מזומן או המחאה, ביט.",תשלומים,כלל האוכלוסייה,כן,כן,כן,כן,כן,לא,5,תהליך אוטומטי,42760,40400,1030,1330
הזמנת כרטיסים לאירועים עירוניים,https://community.ganeytikva.org.il/ganeitikva,תרבות ופנאי,הזמנת כרטיסים למופעי תרבות אותם מפרסמת הרשות מעת לעת,אחר,כלל האוכלוסייה,כן,לא,לא,לא,לא,לא,5,תהליך אוטומטי,21000,21000,0,0
תשלום מים,https://www.mast.co.il/109/payment,תאגיד מים,"תשלום חשבון המים באמצעות מגוון אמצעים, כולל כרטיס אשראי, הוראת קבע, העברה בנקאית, מזומן או המחאה.",תשלומים,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,16032,13483,144,2405
הרשמה לפעילויות ספורט עירוניות,https://www.mygt.org.il/page.php?type=matClass&id=644&m=788&ht=#navbar,החברה לפיתוח גני תקווה,"הרשמה לפעילויות ספורט עירוניות,לפי ענפים וקטגוריות",אחר,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,9000,5000,2000,2000
איתור מקלטים או מיגוניות בשטח הרשות,https://www.ganeytikva.org.il/shelters/,ביטחון,"מציאת מיקומם של מקלטים ציבוריים הנמצאים בתחום השיפוט של רשות מקומית . הרשות המקומית אחראית בדרך כלל על תחזוקת המקלטים הציבוריים בשטחה, כולל ניקיון, תקינות דלתות וחלונות, ואספקת חשמל. פיקוד העורף הוא הגוף המוסמך להחליט מתי לפתוח את המקלטים הציבוריים בשעת חירום",בקשת מידע,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,4041,3960,30,51
איתור ימי פינוי אשפה וגזם,https://www.ganeytikva.org.il/%D7%94%D7%A0%D7%97%D7%99%D7%95%D7%AA-%D7%9C%D7%A4%D7%99%D7%A0%D7%95%D7%99-%D7%92%D7%96%D7%9D-%D7%92%D7%A8%D7%95%D7%98%D7%90%D7%95%D7%AA-%D7%95%D7%A7%D7%A8%D7%98%D7%95%D7%A0%D7%99%D7%9D/,"שפ""ע","איתור ימי אשפה וגזם הם הימים שבהם הרשות המקומית או העירייה מפנה פסולת ביתית ופסולת גינה (גזם) מהרחובות. מדובר בימים קבועים מראש, שבהם התושבים יכולים להוציא את הפסולת מחוץ לבתיהם, והיא תיאסף על ידי העירייה",בקשת מידע,כלל האוכלוסייה,כן,לא,כן,כן,לא,לא,5,תהליך אוטומטי,3976,3634,0,342
ביטול דוחות (ערעור או בקשה להישפט),https://mileon-portal.co.il/Defaultnew.aspx?Rashut=920010,מחלקה משפטית,אפשרות לערעור או ביטול חניה מסיבות מוצדקות,תשלומים,כלל האוכלוסייה,כן,כן,לא,כן,לא,לא,4,דיגיטלי עם הזדהות,2838,1362,1476,0
רישום לצהרונים,https://www.mygt.org.il/page.php?type=matClass&id=578&m=788&ht=,החברה לפיתוח גני תקווה,רישום לצהרונים המופעלים על ידי החברה לפיתוח גני תקווה,"רישוי, רישום ותעודות",הורים,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,2000,1700,100,200
מידע על הנחות ופטורים בארנונה,https://www.ganeytikva.org.il/%d7%9e%d7%99%d7%93%d7%a2-%d7%91%d7%a0%d7%95%d7%a9%d7%90-%d7%94%d7%a0%d7%97%d7%95%d7%aa-%d7%91%d7%90%d7%a8%d7%a0%d7%95%d7%a0%d7%94-%d7%9b%d7%9c%d7%9c%d7%99/,הכנסות וארנונה,מידע לתושב או עסק על הנחות ופטורים בארנונה לפי קטגוריות,דיווח מידע,כלל האוכלוסייה,כן,כן,כן,כן,כן,לא,5,תהליך אוטומטי,1963,1563,200,200
בקשה להנחה בארנונה,https://por179.cityforms.co.il/ApplicationBuilder/eFormRender.html?code=81030050568A4D0111BB33BA9A6234DE&Process=ProcessOneClick&NOSE=1&TAT=2&SUG=3,הכנסות וארנונה,בקשה להנחה בארנונה על פי קריטריונים לזכאות,סיוע כלכלי וקצבאות,כלל האוכלוסייה,כן,כן,כן,לא,כן,לא,4,דיגיטלי עם הזדהות,1868,654,349,865
מידע על מעונות יום,https://www.ganeytikva.org.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A2%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%95%D7%9D-%D7%95%D7%92%D7%A0%D7%99%D7%9D-%D7%A4%D7%A8%D7%98%D7%99%D7%99%D7%9D/,חינוך,קבלת מידע על מעונות יום של הרשות,בקשת מידע,הורים,כן,לא,כן,לא,לא,לא,5,תהליך אוטומטי,1520,1500,0,20
בקשה לקבלת שובר תשלום במייל,https://city4u.co.il/PortalServicesSite/usersManagement/502200/registerForVoucherMail,הכנסות וארנונה,"שירות זה מאפשר לתושב או לבא כוחו לקבל שובר תשלום בדו""א ל במקום לגשת פיזית לעיריה ,לבצע את התשלום באופן מקוון או בבנק.",תשלומים,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,1430,1000,10,420
דיווח על שינוי בנכס - חילופי מחזיקים,https://por179.cityforms.co.il/ApplicationBuilder/eFormRender.html?code=81030050568A4D0111BB33BA9A6234DE&Process=ProcessOneClick&NOSE=1&TAT=2&SUG=21,הכנסות וארנונה,העברת בעלות בין בין מחזיקים בנכס,"רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,1328,540,170,618
רישום לגני ילדים,https://www.ganeytikva.org.il/%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%9C%D7%92%D7%A0%D7%99-%D7%94%D7%99%D7%9C%D7%93%D7%95%D7%AA-%D7%95%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D/,חינוך,רישום לגני ילדים לפי חוק חינוך חובה,"רישוי, רישום ותעודות",הורים,כן,כן,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,1000,900,100,0
יצירת קשר עם השירות הפסיכולוגי חינוכי,,שירות פסיכולוגי חינוכי,"פנייה לשירות הפסיכולוגי החינוכי בעיריה, בנושאים מגוונים אשר בטיפול המחלקה",אחר,הורים,לא,כן,כן,כן,לא,לא,5,תהליך אוטומטי,900,0,100,800
אישור העדר חובות לטאבו בגין העברת זכויות,https://www.ganeytikva.org.il/smartforms/200/,הנדסה,"על מנת להעביר זכויות בנכס זהו אישור של הרשות המקומית המופנה אל רשם המקרקעין- טאבו. האישור לרשם המקרקעין מאשר שכל החובות הנוגעים לבעל הנכס בגין הנכס שולמו במלואם לרשות המקומית (חובות כגון: ארנונה, היטל השבחה, אגרות והיטלי פיתוח, אגרות חינוך).","רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,800,700,100,0
תשלום אגרת אישור עירייה לטאבו,https://www.paykal.co.il/ganeytikva/product/debts/,הנדסה,"אגרת תשלום חובה עבור טיפול בבקשה לקבלת אישור עיריה לרישוו זכויות בטאבו.האגרה היא עבור טיפול בבקשה,בדיקת חובות לעיריה והפקת האישור.",תשלומים,כלל האוכלוסייה,כן,לא,לא,לא,לא,לא,5,תהליך אוטומטי,800,700,100,0
הנפקת אישור היעדר חובות,,הכנסות וארנונה,הנפקת אישור היעדר חובות,בקשת מידע,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,4,דיגיטלי עם הזדהות,800,700,100,0
"תשלומים לווטרינריה (רישוי, חיסון, שיבוב ועוד)",https://vetclick.co.il/AllUsersAccess/HomePay/IdentifyPayer.aspx?code=18,השירות הוטרינרי,"תשלומים שנתיים שנדרשים לשלם עבור החזקת כלב, ומשמשים למימון שירותים וטרינריים הניתנים על ידי הרשויות המקומיות, כמו חיסונים, רישוי, טיפול במקרי נשיכה ועוד",תשלומים,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,782,322,138,322
קביעת תור למחלקת רישוי עסקים,https://www.ganeytikva.org.il/%D7%A8%D7%99%D7%A9%D7%95%D7%99-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D/,רישוי וקידום עסקים,זימון תור למחלקת רישוי עסקים,"רישוי, רישום ותעודות",בעלי עסקים,כן,לא,כן,כן,לא,לא,5,תהליך אוטומטי,740,0,240,500
הגשת אישור מורשה נגישות,https://status-display.citysys.co.il/ganey_tikva/login,רישוי וקידום עסקים,"אישור מורשה נגישות הוא מסמך רשמי הניתן על ידי מורשה נגישות מוסמך, המאשר שהמבנה, השירות או התהליך שהוערך עומדים בדרישות הנגישות המוגדרות בחוק. אישור זה נדרש לעיתים כתנאי לקבלת היתרים שונים, כגון רישיון עסק או היתר בנייה, וכן הוא מהווה חלק מתהליך ההנגשה של מקומות ציבוריים ושירותים לאנשים עם מוגבלויות","רישוי, רישום ותעודות",בעלי עסקים,,לא,כן,כן,לא,לא,2,טופס להורדה,740,0,240,500
רישום לבתי ספר יסודיים (כיתה א),https://edu.onecity.co.il/edu-registration-site/intro?customerId=502200,חינוך,רישום לבתי ספר יסודיים לפי חוק חינוך חובה,"רישוי, רישום ותעודות",הורים,כן,כן,לא,כן,לא,לא,4,דיגיטלי עם הזדהות,600,550,50,0
בקשה לחידוש רישיון כלב,,השירות הוטרינרי,"תהליך שבו בעלי כלבים מבקשים לחדש את הרישיון השנתי שלהם לגידול כלב, בהתאם לחוק הסדרת הפיקוח על כלבים. רישיון זה ניתן לאחר שהכלב חוסן נגד כלבת, סומן בשבב אלקטרוני, ותשלום אגרה שנתית","רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,414,230,92,92
בקשה למידע על פסולת בניין,https://www.ganeytikva.org.il/%D7%94%D7%A0%D7%97%D7%99%D7%95%D7%AA-%D7%9C%D7%94%D7%95%D7%A6%D7%90%D7%94-%D7%A9%D7%9C-%D7%A4%D7%A1%D7%95%D7%9C%D7%AA-%D7%91%D7%A0%D7%99%D7%94-%D7%95%D7%A9%D7%99%D7%A4%D7%95%D7%A5/,"שפ""ע",מידע לגבי הנחיות להוצאת פסולת בניין,בקשת מידע,כלל האוכלוסייה,כן,לא,כן,כן,לא,לא,5,תהליך אוטומטי,350,300,0,50
עדכון הוראת קבע בכרטיס אשראי,https://por179.cityforms.co.il/ApplicationBuilder/eFormRender.html?code=81030050568A4D0111BB33BA9A6234DE&Process=ProcessOneClick&NOSE=1&TAT=2&SUG=4,הכנסות וארנונה,עדכון פרטי כרטיס אשראי לתשלום בהוראת קבע,תשלומים,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,347,50,52,245
